product_name,buying_price,sales_quantity,sales_created_at,new_selling_price,new_profit,sales,month
Mushroom - Portebello,5,75,2023-01-17,12.5,7.5,7.5,2023-01
"Bread - Rolls, Rye",6,87,2023-07-21,15.0,9.0,9.0,2023-07
Cassis,16,100,2023-05-25,40.0,24.0,24.0,2023-05
Wine La Vielle Ferme Cote Du,36,90,2023-03-31,90.0,54.0,54.0,2023-03
Creme De Menthe Green,42,76,2022-12-30,105.0,63.0,63.0,2022-12
Pastry - Apple Large,28,85,2022-12-24,70.0,42.0,42.0,2022-12
Contreau,28,28,2022-11-12,70.0,42.0,42.0,2022-11
"Bread - Pita, Mini",43,54,2023-05-13,107.5,64.5,64.5,2023-05
"Butter - Salted, Micro",26,57,2023-03-14,65.0,39.0,39.0,2023-03
Beef - Rib Eye Aaa,49,24,2022-10-05,122.5,73.5,73.5,2022-10
Wiberg Super Cure,20,100,2023-06-22,50.0,30.0,30.0,2023-06
Dc Hikiage Hira Huba,49,74,2023-04-24,122.5,73.5,73.5,2023-04
Pastry - Apple Muffins - Mini,14,59,2022-11-04,35.0,21.0,21.0,2022-11
Chicken Thigh - Bone Out,14,11,2023-02-10,35.0,21.0,21.0,2023-02
Nantucket - Carrot Orange,32,13,2023-01-08,80.0,48.0,48.0,2023-01
Cloves - Whole,33,12,2022-08-31,82.5,49.5,49.5,2022-08
Apple - Fuji,32,66,2023-04-26,80.0,48.0,48.0,2023-04
Crab - Soft Shell,6,19,2023-07-05,15.0,9.0,9.0,2023-07
Pastry - Key Limepoppy Seed Tea,36,87,2023-07-26,90.0,54.0,54.0,2023-07
Calypso - Lemonade,35,45,2023-07-27,87.5,52.5,52.5,2023-07
Soup - Campbells,24,77,2022-08-16,60.0,36.0,36.0,2022-08
Veal - Heart,78,42,2023-07-08,195.0,117.0,117.0,2023-07
Dasheen,14,3,2023-02-17,35.0,21.0,21.0,2023-02
Bread Ww Cluster,44,98,2023-03-05,110.0,66.0,66.0,2023-03
"Wine - White, Schroder And Schyl",34,70,2022-12-09,85.0,51.0,51.0,2022-12
Bagel - 12 Grain Preslice,14,18,2023-03-26,35.0,21.0,21.0,2023-03
Sage Derby,11,85,2023-04-16,27.5,16.5,16.5,2023-04
Milkettes - 2%,25,35,2023-01-12,62.5,37.5,37.5,2023-01
Cookies Cereal Nut,59,69,2023-07-27,147.5,88.5,88.5,2023-07
Leeks - Large,34,81,2023-06-13,85.0,51.0,51.0,2023-06
Bag - Clear 7 Lb,10,58,2022-11-27,25.0,15.0,15.0,2022-11
"Soup - Campbells, Spinach Crm",51,54,2023-04-24,127.5,76.5,76.5,2023-04
Beef - Prime Rib Aaa,69,99,2023-06-26,172.5,103.5,103.5,2023-06
Vinegar - Champagne,71,41,2023-01-31,177.5,106.5,106.5,2023-01
Apples - Sliced / Wedge,95,36,2023-03-11,237.5,142.5,142.5,2023-03
"Yogurt - Banana, 175 Gr",87,80,2023-07-02,217.5,130.5,130.5,2023-07
Wine - Ruffino Chianti Classico,100,88,2022-09-12,250.0,150.0,150.0,2022-09
Nantucket - Pomegranate Pear,53,58,2022-08-25,132.5,79.5,79.5,2022-08
Temperature Recording Station,47,70,2023-06-18,117.5,70.5,70.5,2023-06
Water - Spring Water 500ml,54,84,2023-05-08,135.0,81.0,81.0,2023-05
Beef - Flank Steak,44,4,2023-04-12,110.0,66.0,66.0,2023-04
"Pail - 15l White, With Handle",47,92,2022-12-29,117.5,70.5,70.5,2022-12
Wine - Ruffino Chianti,55,46,2023-07-03,137.5,82.5,82.5,2023-07
"Chocolate - Pistoles, Lactee, Milk",75,17,2023-04-08,187.5,112.5,112.5,2023-04
Fiddlehead - Frozen,73,88,2023-02-04,182.5,109.5,109.5,2023-02
Vinegar - Tarragon,65,23,2022-11-13,162.5,97.5,97.5,2022-11
Nori Sea Weed - Gold Label,90,69,2023-06-05,225.0,135.0,135.0,2023-06
"Crab - Dungeness, Whole",90,51,2022-08-30,225.0,135.0,135.0,2022-08
Carbonated Water - Raspberry,84,87,2023-03-05,210.0,126.0,126.0,2023-03
Chips - Potato Jalapeno,88,47,2022-09-20,220.0,132.0,132.0,2022-09
